km,tarifa_pesos_tn
456,78925.85
457,79024.57
458,79123.30
459,79224.62
460,79323.35
461,79422.07
462,79523.40
463,79622.13
464,79720.86
465,79822.17
466,79920.90
467,80019.62
468,80120.95
469,80219.67
470,80318.40
471,80422.32
472,80521.05
473,80617.17
474,80721.09
475,80819.82
476,80918.55
477,81019.87
478,81118.59
479,81217.32
480,81318.64
481,81417.37
482,81516.09
483,81617.42
484,81716.14
485,81814.87
486,81916.19
487,82014.92
488,82113.64
489,82214.97
490,82313.69
491,82412.42
492,82516.34
493,82615.07
494,82713.79
495,82815.11
496,82913.84
497,83012.57
498,83113.89
499,83212.61
500,83311.34
501,83373.69
502,83438.64
503,83498.40
504,83563.35
505,83625.70
506,83685.46
507,83750.41
508,83812.76
509,83875.11
510,83937.47
511,83997.22
512,84062.17
513,84121.93
514,84186.87
515,84246.63
516,84306.39
517,84371.34
518,84431.10
519,84490.85
520,84555.80
521,84615.56
522,84675.31
523,84740.26
524,84800.02
525,84859.77
526,84922.12
527,84981.88
528,85041.63
529,85103.99
530,85166.34
531,85226.10
532,85288.45
533,85348.20
534,85407.96
535,85467.71
536,85530.07
537,85587.22
538,85646.98
539,85706.73
540,85769.09
541,85828.84
542,85888.60
543,85945.75
544,86005.51
545,86067.86
546,86127.62
547,86184.77
548,86244.53
549,86306.88
550,86364.04
551,86423.79
552,86483.55
553,86540.70
554,86600.46
555,86660.21
556,86719.97
557,86777.13
558,86836.88
559,86894.04
560,86951.19
561,87013.55
562,87070.70
563,87127.85
564,87187.61
565,87244.78
566,87301.93
567,87361.68
568,87418.84
569,87476.00
570,87533.15
571,87590.31
572,87652.66
573,87709.82
574,87766.98
575,87824.14
576,87881.29
577,87938.45
578,87995.61
579,88052.76
580,88109.92
581,88167.08
582,88224.23
583,88281.39
584,88338.55
585,88395.70
586,88450.26
587,88507.42
588,88564.58
589,88621.73
590,88678.89
591,88733.45
592,88790.61
593,88847.76
594,88902.32
595,88959.48
596,89016.64
597,89071.19
598,89128.35
599,89185.51
600,89240.07
601,89297.22
602,89351.78
603,89408.94
604,89463.50
605,89520.66
606,89575.21
607,89627.17
608,89686.93
609,89738.89
610,89796.05
611,89850.61
612,89905.17
613,89962.31
614,90016.89
615,90071.44
616,90126.00
617,90183.16
618,90235.12
619,90289.68
620,90344.23
621,90398.79
622,90453.35
623,90507.91
624,90559.87
625,90617.03
626,90671.59
627,90726.15
628,90780.70
629,90835.26
630,90889.82
631,90939.18
632,90993.74
633,91048.30
634,91102.86
635,91154.82
636,91209.38
637,91263.94
638,91318.50
639,91370.46
640,91422.42
641,91476.98
642,91531.54
643,91583.50
644,91635.46
645,91690.02
646,91741.98
647,91796.54
648,91845.90
649,91900.46
650,91955.02
651,92006.98
652,92058.94
653,92110.90
654,92165.46
655,92214.82
656,92269.38
657,92321.34
658,92375.90
659,92425.26
660,92477.22
661,92531.78
662,92581.15
663,92633.11
664,92687.66
665,92737.04
666,92788.99
667,92843.55
668,92892.91
669,92944.87
670,92996.83
671,93046.20
672,93100.75
673,93152.71
674,93202.08
675,93254.04
676,93303.40
677,93355.36
678,93407.32
679,93456.69
680,93508.65
681,93558.01
682,93609.97
683,93661.93
684,93711.29
685,93763.25
686,93812.62
687,93864.58
688,93916.54
689,93965.90
690,94015.26
691,94064.63
692,94116.59
693,94165.95
694,94217.91
695,94264.68
696,94316.64
697,94366.00
698,94415.36
699,94464.72
700,94516.69
701,94592.03
702,94669.97
703,94745.31
704,94823.25
705,94896.00
706,94971.34
707,95049.28
708,95124.63
709,95199.97
710,95277.91
711,95353.25
712,95426.00
713,95503.95
714,95579.29
715,95657.23
716,95729.97
717,95805.31
718,95883.25
719,95956.00
720,96031.34
721,96109.28
722,96182.03
723,96257.37
724,96335.31
725,96408.06
726,96483.40
727,96556.15
728,96634.09
729,96706.83
730,96782.18
731,96854.92
732,96932.86
733,97005.61
734,97078.35
735,97156.29
736,97229.04
737,97304.38
738,97377.13
739,97452.47
740,97527.81
741,97600.56
742,97673.30
743,97751.25
744,97823.99
745,97896.74
746,97969.48
747,98042.23
748,98120.17
749,98192.91
750,98265.66
751,98338.40
752,98411.15
753,98486.49
754,98561.83
755,98634.58
756,98707.32
757,98782.67
758,98855.41
759,98928.16
760,99000.90
761,99073.65
762,99146.39
763,99221.74
764,99294.49
765,99364.63
766,99437.37
767,99510.12
768,99582.86
769,99655.61
770,99730.95
771,99803.70
772,99873.84
773,99946.59
774,100019.33
775,100092.08
776,100164.82
777,100234.97
778,100310.31
779,100383.06
780,100453.21
781,100525.95
782,100598.70
783,100668.84
784,100741.59
785,100814.33
786,100884.48
787,100957.23
788,101027.37
789,101102.72
790,101172.86
791,101245.61
792,101315.76
793,101388.50
794,101458.65
795,101531.39
796,101601.54
797,101671.69
798,101744.43
799,101814.58
800,101887.32
801,101941.88
802,101999.04
803,102053.60
804,102108.16
805,102165.31
806,102219.87
807,102277.03
808,102328.99
809,102383.55
810,102440.71
811,102495.27
812,102552.42
813,102606.97
814,102661.55
815,102718.69
816,102773.26
817,102827.81
818,102879.78
819,102936.93
820,102991.49
821,103046.05
822,103100.61
823,103155.17
824,103212.32
825,103266.88
826,103318.84
827,103373.40
828,103427.96
829,103482.52
830,103539.68
831,103594.24
832,103648.80
833,103700.76
834,103755.32
835,103809.87
836,103864.43
837,103918.99
838,103973.55
839,104025.51
840,104080.07
841,104134.63
842,104189.19
843,104243.75
844,104295.71
845,104350.27
846,104404.82
847,104459.38
848,104513.94
849,104568.50
850,104617.86
851,104672.42
852,104726.98
853,104781.54
854,104836.10
855,104888.06
856,104940.02
857,104994.58
858,105049.14
859,105101.10
860,105155.66
861,105207.62
862,105262.18
863,105314.14
864,105366.11
865,105420.66
866,105475.22
867,105524.58
868,105579.14
869,105633.70
870,105685.66
871,105737.62
872,105792.18
873,105844.14
874,105898.70
875,105948.06
876,106002.62
877,106057.18
878,106109.14
879,106161.10
880,106213.06
881,106267.62
882,106316.98
883,106371.54
884,106423.50
885,106478.06
886,106527.42
887,106579.38
888,106633.94
889,106683.31
890,106737.86
891,106789.83
892,106839.19
893,106893.75
894,106945.71
895,107000.27
896,107049.63
897,107101.59
898,107156.15
899,107205.51
900,107257.47
901,107306.84
902,107361.39
903,107413.35
904,107462.72
905,107514.68
906,107569.24
907,107618.60
908,107670.56
909,107722.52
910,107771.88
911,107823.85
912,107878.40
913,107927.77
914,107979.74
915,108029.09
916,108081.05
917,108133.01
918,108182.37
919,108234.34
920,108283.70
921,108335.66
922,108390.22
923,108439.58
924,108491.54
925,108543.50
926,108592.87
927,108644.83
928,108694.19
929,108743.55
930,108792.91
931,108844.87
932,108896.84
933,108946.20
934,108998.16
935,109047.52
936,109099.48
937,109151.44
938,109200.81
939,109250.17
940,109299.53
941,109351.49
942,109400.86
943,109452.82
944,109499.58
945,109551.54
946,109603.50
947,109652.87
948,109704.83
949,109751.59
950,109803.55
951,109852.91
952,109902.28
953,109951.64
954,110003.60
955,110050.37
956,110102.33
957,110151.69
958,110201.05
959,110250.41
960,110302.38
961,110349.14
962,110401.10
963,110453.06
964,110499.82
965,110551.79
966,110598.55
967,110650.51
968,110697.28
969,110749.24
970,110798.60
971,110847.96
972,110897.33
973,110946.69
974,110996.05
975,111042.82
976,111094.78
977,111141.54
978,111193.50
979,111240.27
980,111289.63
981,111338.99
982,111388.36
983,111437.72
984,111487.08
985,111533.85
986,111585.81
987,111632.57
988,111679.34
989,111731.30
990,111778.06
991,111827.42
992,111876.79
993,111926.15
994,111972.91
995,112024.88
996,112071.64
997,112121.00
998,112167.77
999,112219.73
1000,112266.49
1001,112326.25
1002,112386.00
1003,112448.36
1004,112508.11
1005,112567.87
1006,112625.02
1007,112687.38
1008,112747.13
1009,112806.89
1010,112866.64
1011,112928.99
1012,112986.15
1013,113045.90
1014,113105.66
1015,113168.01
1016,113225.17
1017,113284.92
1018,113344.68
1019,113404.43
1020,113461.59
1021,113523.94
1022,113581.10
1023,113640.86
1024,113700.61
1025,113757.77
1026,113820.12
1027,113877.28
1028,113937.03
1029,113994.19
1030,114053.94
1031,114111.10
1032,114173.45
1033,114230.61
1034,114287.77
1035,114347.52
1036,114404.68
1037,114464.43
1038,114521.59
1039,114578.75
1040,114641.10
1041,114698.26
1042,114755.42
1043,114812.57
1044,114872.33
1045,114929.48
1046,114986.64
1047,115043.80
1048,115100.95
1049,115158.11
1050,115220.46
1051,115277.62
1052,115334.78
1053,115391.94
1054,115449.09
1055,115506.25
1056,115563.41
1057,115620.56
1058,115677.72
1059,115734.88
1060,115792.03
1061,115849.19
1062,115906.35
1063,115963.50
1064,116020.66
1065,116077.81
1066,116134.97
1067,116189.53
1068,116246.69
1069,116303.85
1070,116361.00
1071,116420.76
1072,116472.72
1073,116529.88
1074,116587.03
1075,116644.19
1076,116698.75
1077,116755.91
1078,116813.06
1079,116867.62
1080,116924.78
1081,116981.94
1082,117036.49
1083,117093.65
1084,117148.21
1085,117205.37
1086,117259.93
1087,117317.08
1088,117371.64
1089,117428.80
1090,117483.36
1091,117540.51
1092,117595.07
1093,117652.23
1094,117704.19
1095,117761.35
1096,117815.91
1097,117870.46
1098,117927.62
1099,117982.18
1100,118036.74
1101,118093.90
1102,118148.46
1103,118203.01
1104,118254.97
1105,118312.13
1106,118366.69
1107,118421.25
1108,118475.81
1109,118530.37
1110,118587.52
1111,118642.08
1112,118694.04
1113,118748.61
1114,118803.16
1115,118857.72
1116,118912.28
1117,118966.84
1118,119018.80
1119,119073.36
1120,119127.92
1121,119182.47
1122,119237.03
1123,119288.99
1124,119343.55
1125,119398.11
1126,119452.67
1127,119507.23
1128,119561.79
1129,119611.15
1130,119665.71
1131,119720.27
1132,119774.83
1133,119826.79
1134,119881.35
1135,119933.31
1136,119987.87
