codigo_indec,provincia,departamento,lon,lat,dist_km__Gran Rosario (San Lorenzo),dist_km__Bahía Blanca (Ing. White),dist_km__Quequén (Necochea),dist_km,puerto_asignado,produccion_tn,flete_usd_tn,pizarra_usd_tn,pct_flete_sobre_bruto,valor_neto_usd_tn,flete_total_usd,valor_neto_total_usd,cultivo
06707,BUENOS AIRES,SALADILLO,-59.70261085280732,-35.67689451204863,435.48909999999995,476.3836,385.4163,385.4163,Quequén (Necochea),195210,51.5311408042681,195.28,26.388335110747697,143.7488591957319,10059393.996401176,28061214.803598825,Maíz
06455,BUENOS AIRES,LAS FLORES,-59.17641783280046,-36.01573371401536,496.073,460.2199,319.64029999999997,319.64029999999997,Quequén (Necochea),101883,44.9202089548871,195.28,23.00297467988893,150.3597910451129,4576605.648950762,15319106.591049237,Maíz
06686,BUENOS AIRES,ROJAS,-60.78822638118412,-34.19268203876182,213.48329999999999,615.1344,615.0962,213.48329999999999,Gran Rosario (San Lorenzo),313650,32.60994717296116,176.20728662676862,18.50658267159719,143.59733945380748,10228109.930799266,45039305.519686714,Maíz
06735,BUENOS AIRES,SAN ANTONIO DE ARECO,-59.5192903067837,-34.22073617571765,236.7234,682.2104,562.6983,236.7234,Gran Rosario (San Lorenzo),116000,35.22740890125515,176.20728662676862,19.992027330783245,140.97987772551346,4086379.4325455977,16353665.816159561,Maíz
06511,BUENOS AIRES,MAIPU,-57.58582710513667,-36.8868421282518,638.0503,538.6558,278.5313,278.5313,Quequén (Necochea),48750,40.24115291774163,195.28,20.606899281924225,155.03884708225837,1961756.2047399045,7558143.795260096,Maíz
22112,CHACO,O'HIGGINS,-60.67993231621196,-27.255567313273136,737.0214,1541.7053,1516.9068,737.0214,Gran Rosario (San Lorenzo),15480,70.37091878997174,176.20728662676862,39.936440845960625,105.83636783679688,1089341.8228687625,1638346.9741136157,Maíz
06014,BUENOS AIRES,ADOLFO GONZALES CHAVES,-60.24865208393248,-37.964759425794455,726.6338000000001,254.9832,204.0598,204.0598,Quequén (Necochea),171540,31.577381998496048,195.28,16.1703103228677,163.70261800150396,5416784.108022012,28081547.09197799,Maíz
06280,BUENOS AIRES,GENERAL ALVARADO,-58.07169479105406,-38.202559280630574,794.5531,413.3924,72.9671,72.9671,Quequén (Necochea),144725,16.497897756208644,195.28,8.448329453199838,178.78210224379137,2387658.252767296,25874239.747232705,Maíz
06357,BUENOS AIRES,GENERAL PUEYRREDON,-57.74306210174141,-37.96556251609272,760.0926,461.8006,121.37530000000001,121.37530000000001,Quequén (Necochea),133105,22.56588307583584,195.28,11.555654995819253,172.71411692416416,3003631.8668091292,22989112.53319087,Maíz
06518,BUENOS AIRES,MAR CHIQUITA,-57.64353762731752,-37.49850392903776,686.5996,533.2479000000001,192.8227,192.8227,Quequén (Necochea),144160,30.296664778170115,195.28,15.514473974892521,164.9833352218299,4367567.194421004,23783997.605578996,Maíz
06336,BUENOS AIRES,GENERAL LAVALLE,-56.94101470435074,-36.650489296565034,658.1596,653.2603,323.8986,323.8986,Quequén (Necochea),1160,45.33880832926778,195.28,23.21733322883438,149.94119167073222,52593.017661950624,173931.78233804938,Maíz
06505,BUENOS AIRES,MAGDALENA,-57.68599243512652,-35.18504986160399,435.2749,669.0626,491.32059999999996,435.2749,Gran Rosario (San Lorenzo),15028,55.581430194788986,176.20728662676862,31.5432075817149,120.62585643197963,835277.7329672889,1812765.3704597899,Maíz
06343,BUENOS AIRES,GENERAL PAZ,-58.389655899805675,-35.466061625935616,462.68640000000005,563.8988,372.71290000000005,372.71290000000005,Quequén (Necochea),39960,50.23474094306321,195.28,25.7244679143093,145.0452590569368,2007380.248084806,5796008.551915195,Maíz
06308,BUENOS AIRES,GENERAL GUIDO,-57.99559289974837,-36.665653027816816,608.9407,544.8008000000001,284.67629999999997,284.67629999999997,Quequén (Necochea),30000,41.01598642799193,195.28,21.003680063494436,154.26401357200808,1230479.592839758,4627920.407160242,Maíz
06315,BUENOS AIRES,GENERAL JUAN MADARIAGA,-57.23042214066912,-37.15330636985976,683.0163,556.5028000000001,296.37829999999997,296.37829999999997,Quequén (Necochea),115600,42.52001878998621,195.28,21.773872792905678,152.7599812100138,4915314.172122406,17659053.827877596,Maíz
